level,state,district
state-lower,GA,87
state-lower,GA,88
state-lower,GA,89
state-lower,GA,90
state-lower,GA,91
state-lower,GA,92
state-lower,GA,93
state-lower,GA,94
state-lower,GA,95
state-lower,GA,96
state-lower,GA,97
state-lower,GA,98
state-lower,GA,99
state-lower,GA,100
state-lower,GA,101
state-lower,GA,102
state-lower,GA,103
state-lower,GA,104
state-lower,GA,105
state-lower,GA,106
state-lower,GA,107
state-lower,GA,108
state-lower,GA,109
state-lower,GA,110
state-lower,GA,111
state-lower,GA,112
state-lower,GA,113
state-lower,GA,114
state-lower,GA,115
state-lower,GA,116
state-lower,GA,117
state-lower,GA,118
state-lower,GA,119
state-lower,GA,120
state-lower,GA,121
state-lower,GA,122
state-lower,GA,123
state-lower,GA,124
state-lower,GA,125
state-lower,GA,126
state-lower,GA,127
state-lower,GA,128
state-lower,GA,129
state-lower,GA,130
state-lower,GA,131
state-lower,GA,132
state-lower,GA,133
state-lower,GA,134
state-lower,GA,135
state-lower,GA,136
state-lower,GA,137
state-lower,GA,138
state-lower,GA,139
state-lower,GA,140
state-lower,GA,141
state-lower,GA,142
state-lower,GA,143
state-lower,GA,144
state-lower,GA,145
state-lower,GA,146
state-lower,GA,147
state-lower,GA,148
state-lower,GA,149
state-lower,GA,150
state-lower,GA,151
state-lower,GA,152
state-lower,GA,153
state-lower,GA,154
state-lower,GA,155
state-lower,GA,156
state-lower,GA,157
state-lower,GA,158
state-lower,GA,159
state-lower,GA,160
state-lower,GA,161
state-lower,GA,162
state-lower,GA,163
state-lower,GA,164
state-lower,GA,165
state-lower,GA,166
state-lower,GA,167
state-lower,GA,168
state-lower,GA,169
state-lower,GA,170
state-lower,GA,171
state-lower,GA,172
state-lower,GA,173
state-lower,GA,174
state-lower,GA,175
state-lower,GA,176
state-lower,GA,177
state-lower,GA,178
state-lower,GA,179
